tic_id,period_days,duration_days,depth_ppm,snr,bls_power,transit_time,tls_period,tls_duration,tls_depth_ppm,tls_snr,tls_sde,tls_fap,tls_rp_rs,tls_odd_even,tls_transit_time,bls_tls_period_agree_pct,both_agree
270515566,10.049861928014183,0.11184918133379115,997079.5348924864,6.016410963254194,0.0008071293070578495,2394.079564727986,10.049861928014183,0.11184918133379115,997079.5348924864,6.016410963254194,22.771537814911728,8.0032e-05,0.9985386997470286,1.5218332124908485,2394.079564727986,0.040418974562631924,True
308883808,1.1652547015494044,0.039424473051816115,998354.6907285627,16.454063581792944,0.000709821071045853,2255.87708459907,1.1652547015494044,0.039424473051816115,998354.6907285627,16.454063581792944,20.714846118772595,8.0032e-05,0.9991770067052997,0.13674244856855952,2255.87708459907,0.06723845817662277,True
378976682,6.015410249049876,0.03637765251016757,989658.1905384643,12.827222282369288,0.0042516660175552215,2670.7010202038605,6.015410249049876,0.03637765251016757,989658.1905384643,12.827222282369288,13.362728223532248,8.0032e-05,0.9948156565607843,0.6049640567464887,2670.7010202038605,0.015706295760967392,True
408094424,2.491557087675641,0.06697768342704843,997811.4416987293,15.408023210982988,0.001004086982575678,2827.4658281492916,2.491557087675641,0.06697768342704843,997811.4416987293,15.408023210982988,16.392965582793668,8.0032e-05,0.9989051214698668,0.9141212533945976,2827.4658281492916,0.03418246464664785,True
447206604,7.218732598101671,0.04180064897377652,997740.202827079,11.402356207715085,0.0003129337684342002,2283.1025358145034,7.218732598101671,0.04180064897377652,997740.202827079,11.402356207715085,22.105651008697052,8.0032e-05,0.998869462355857,0.18361572829983508,2283.1025358145034,0.09614063929192311,True
468997317,3.760680456183442,0.08765036601770072,996546.2314346471,47.010654495411295,0.0020315599230331985,1544.0700740928717,3.760680456183442,0.08765036601770072,996546.2314346471,47.010654495411295,11.309821828688808,8.0032e-05,0.9982716220721929,9.581374867822802,1544.0700740928717,0.015966601576984686,True
51912829,0.8351419307549209,0.04048425245485428,997880.593896563,69.89581879592878,0.0008816096472986376,1325.902921808183,0.8351419307549209,0.04048425245485428,997880.593896563,69.89581879592878,20.459863024009906,8.0032e-05,0.9989397348672056,1.2831882349432038,1325.902921808183,50.015780547945084,False
52555068,2.8057050610104013,0.30812756516408063,994282.2122878463,15.829425638356645,0.0016073799473048664,1469.5872121030186,2.8057050610104013,0.30812756516408063,994282.2122878463,15.829425638356645,7.44688802770963,0.004321729,0.9971370077817021,0.5608400295155667,1469.5872121030186,0.20782243154619037,True
62867537,2.8368506709414523,0.08134760323242611,985273.7499160699,15.660848301685654,0.002865051742850219,1712.2575586037724,2.8368506709414523,0.08134760323242611,985273.7499160699,15.660848301685654,12.924865725573188,8.0032e-05,0.9926095656984522,0.34486616549330956,1712.2575586037724,0.10213315642752833,True
92880568,1.1776264123737181,0.03417287408213025,997206.276742631,32.13798075918616,0.0016144706519137144,2174.688006335591,1.1776264123737181,0.03417287408213025,997206.276742631,32.13798075918616,17.388587364305355,8.0032e-05,0.9986021613949325,0.2883032880922559,2174.688006335591,0.020462624007367827,True
